1	201	4
2	201	5
3	201	5
4	201	5
5	201	5
6	201	4
7	201	2.5
8	201	5
9	201	5
10	201	5
11	201	 
12	201	2
13	201	 
14	201	4.5
15	201	4.5
16	201	3.5
17	201	4.5
18	201	4
19	201	2.5
20	201	4.5
21	201	5
22	201	5
23	201	2
24	201	2.5
25	201	5
26	201	2.5
27	201	2.5
28	201	5
29	201	4.5
30	201	 
31	201	4.5
32	201	3.5
33	201	4
34	201	4
35	201	5
36	201	2
37	201	 
38	201	3.5
39	201	5
40	201	3.5
41	201	4.5
42	201	5
43	201	5
44	201	5
45	201	4.5
46	201	2
47	201	5
48	201	5
49	201	5
50	201	5
51	201	5
52	201	5
53	201	2.5
54	201	4
55	201	4.5
56	201	5
57	201	5
58	201	4.5
59	201	5
60	201	4.5
61	201	3.5
62	201	5
63	201	4
64	201	 
65	201	4.5
66	201	2.5
67	201	5
68	201	5
69	201	 
70	201	 
71	201	5
72	201	4.5
73	201	4.5
74	201	2
75	201	 
76	201	 
77	201	3.5
78	201	3.5
79	201	3.5
80	201	5
81	201	4
82	201	5
83	201	2
84	201	 
85	201	4.5
86	201	 
87	201	 
88	201	4
89	201	5
90	201	3.5
91	201	5
92	201	4.5
93	201	2
94	201	4.5
95	201	5
96	201	5
97	201	 
98	201	4.5
99	201	4
100	201	5
101	201	4
102	201	5
103	201	4.5
104	201	 
1	202	3.5
2	202	4.5
3	202	4
4	202	4.5
5	202	4.5
6	202	3.5
7	202	2
8	202	4
9	202	4
10	202	4.5
11	202	3.5
12	202	2.5
13	202	2.5
14	202	 
15	202	3.5
16	202	4
17	202	3.5
18	202	4.5
19	202	3.5
20	202	2.5
21	202	4.5
22	202	4.5
23	202	2.5
24	202	4
25	202	4.5
26	202	4.5
27	202	 
28	202	2.5
29	202	2.5
30	202	2.5
31	202	5
32	202	4.5
33	202	2
34	202	4.5
35	202	2
36	202	3.5
37	202	2.5
38	202	2
39	202	3.5
40	202	2.5
41	202	2
42	202	4.5
43	202	2
44	202	4.5
45	202	4
46	202	2.5
47	202	4.5
48	202	3.5
49	202	4.5
50	202	4
51	202	3.5
52	202	3.5
53	202	4.5
54	202	3.5
55	202	4
56	202	 
57	202	4.5
58	202	4
59	202	4.5
60	202	3.5
61	202	2.5
62	202	4
63	202	4.5
64	202	4.5
65	202	2
66	202	4
67	202	4.5
68	202	4.5
69	202	2.5
70	202	2.5
71	202	4
72	202	5
73	202	5
74	202	3.5
75	202	4
76	202	2.5
77	202	2.5
78	202	 
79	202	2
80	202	4.5
81	202	5
82	202	4
83	202	5
84	202	2.5
85	202	4
86	202	3.5
87	202	3.5
88	202	4.5
89	202	 
90	202	5
91	202	4
92	202	2.5
93	202	5
94	202	2.5
95	202	4.5
96	202	2
97	202	2.5
98	202	5
99	202	5
100	202	4.5
101	202	2.5
102	202	4.5
103	202	3.5
104	202	4.5
1	203	2
2	203	4
3	203	2
4	203	4
5	203	4
6	203	2.5
7	203	5
8	203	4.5
9	203	2
10	203	4
11	203	4
12	203	3.5
13	203	3.5
14	203	2.5
15	203	 
16	203	4.5
17	203	4
18	203	5
19	203	2
20	203	4
21	203	4
22	203	4
23	203	3.5
24	203	4.5
25	203	4
26	203	3.5
27	203	2
28	203	2
29	203	2
30	203	2
31	203	4
32	203	2
33	203	4.5
34	203	 
35	203	2.5
36	203	2.5
37	203	4
38	203	2.5
39	203	4.5
40	203	4
41	203	5
42	203	2
43	203	2.5
44	203	4
45	203	2
46	203	3.5
47	203	4
48	203	4
49	203	4
50	203	4.5
51	203	2
52	203	4
53	203	4
54	203	 
55	203	3.5
56	203	2
57	203	 
58	203	 
59	203	4
